hour_index,gpu_HP,gpu_Spot,cpu_HP,cpu_Spot,gpu_total,cpu_total
372,5872.1832,0.0,158687.3653,0.0,5872.1832,158687.3653
373,5887.2877,0.0,158844.7531,0.0,5887.2877,158844.7531
374,5993.3322,0.0,159832.7842,0.0,5993.3322,159832.7842
375,5943.008,0.0,158949.2294,0.0,5943.008,158949.2294
376,5959.2353,0.0,159170.2358,0.0,5959.2353,159170.2358
377,5979.6912,0.0,159460.6492,0.0,5979.6912,159460.6492
378,5977.5849,0.0,159433.3353,0.0,5977.5849,159433.3353
379,5993.6109,0.0,159643.1917,0.0,5993.6109,159643.1917
380,5984.343,0.0,159528.0264,0.0,5984.343,159528.0264
381,5998.0133,0.0,159604.3533,0.0,5998.0133,159604.3533
382,6046.5146,0.0,159858.82,0.0,6046.5146,159858.82
383,6072.8712,0.0,160177.7208,0.0,6072.8712,160177.7208
384,5810.109,0.0,157063.6936,0.0,5810.109,157063.6936
385,5782.9403,0.0,156834.5092,0.0,5782.9403,156834.5092
386,5787.5707,0.0,156898.5417,0.0,5787.5707,156898.5417
387,5782.7595,0.0,156871.0211,0.0,5782.7595,156871.0211
388,5790.4556,0.0,156912.6575,0.0,5790.4556,156912.6575
389,5797.6753,0.0,157055.8917,0.0,5797.6753,157055.8917
390,5804.1829,0.0,157300.6128,0.0,5804.1829,157300.6128
391,5833.96,0.0,157533.9467,0.0,5833.96,157533.9467
392,5868.4977,0.0,157800.6331,0.0,5868.4977,157800.6331
393,5875.302,0.0,157917.735,0.0,5875.302,157917.735
394,5875.3711,0.0,157846.4069,0.0,5875.3711,157846.4069
395,5878.9553,0.0,157869.0011,0.0,5878.9553,157869.0011
396,5876.0583,0.0,157776.3114,0.0,5876.0583,157776.3114
397,5904.2177,0.0,158071.2569,0.0,5904.2177,158071.2569
398,5942.6438,0.0,158812.4533,0.0,5942.6438,158812.4533
399,5988.1254,0.0,159618.725,0.0,5988.1254,159618.725
400,5986.1464,0.0,159556.4392,0.0,5986.1464,159556.4392
401,5985.9016,0.0,159476.9906,0.0,5985.9016,159476.9906
